Player,Rk,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS
Sergei Zubov*,1,zubovse01,23,D,78,12,77,89,20,39,3,9,0,1,36.0,40.0,1.0,222,5.4,,,6.9,5.6,12.5
Mark Messier*,2,messima01,33,C,76,26,58,84,25,76,18,6,2,5,21.0,30.0,7.0,216,12.0,,,6.4,1.8,8.1
Adam Graves,3,gravead01,25,LW,84,52,27,79,27,127,28,20,4,4,18.0,8.0,1.0,291,17.9,,,7.8,1.9,9.8
Brian Leetch*,4,leetcbr01,25,D,84,23,56,79,28,67,5,17,1,4,18.0,36.0,2.0,328,7.0,,,6.8,6.4,13.3
Steve Larmer,5,larmest01,32,RW,68,21,39,60,14,41,11,6,4,7,22.0,15.0,2.0,146,14.4,,,4.2,1.3,5.6
Alex Kovalev,6,kovalal01,20,C,76,23,33,56,18,154,16,7,0,3,27.0,6.0,0.0,184,12.5,,,3.8,1.6,5.3
Esa Tikkanen,7,tikkaes01,29,LW,83,22,32,54,5,114,14,5,3,4,15.0,16.0,1.0,257,8.6,,,3.2,1.2,4.5
Mike Gartner*,8,gartnmi01,34,RW,71,28,24,52,11,58,13,10,5,4,16.0,7.0,1.0,245,11.4,,,4.0,1.3,5.3
Sergei Nemchinov,9,nemchse01,30,C,76,22,27,49,13,36,18,4,0,6,21.0,3.0,3.0,144,15.3,,,3.1,1.4,4.5
Tony Amonte,10,amontto01,23,RW,72,16,22,38,5,31,13,3,0,4,15.0,7.0,0.0,179,8.9,,,1.8,1.1,2.9
Kevin Lowe*,11,loweke01,34,D,71,5,14,19,4,70,5,0,0,1,9.0,2.0,3.0,50,10.0,,,0.5,4.2,4.7
Alexander Karpovtsev,12,karpoal01,23,D,67,3,15,18,12,58,2,1,0,1,10.0,4.0,1.0,78,3.8,,,0.4,4.5,4.8
Jeff Beukeboom,13,beukeje01,28,D,68,8,8,16,18,170,7,1,0,0,8.0,0.0,0.0,58,13.8,,,0.6,4.9,5.5
Greg Gilbert,14,gilbegr01,32,LW,76,4,11,15,-3,29,3,1,0,0,11.0,0.0,0.0,64,6.3,,,-1.3,0.9,-0.4
Mike Hudson,15,hudsomi01,26,C,48,4,7,11,-5,47,4,0,0,1,7.0,0.0,0.0,48,8.3,,,-0.6,0.5,-0.1
Jay Wells,16,wellsja01,34,D,79,2,7,9,4,110,2,0,0,0,7.0,0.0,0.0,64,3.1,,,-0.7,4.6,3.9
Nick Kypreos,17,kypreni01,27,RW,46,3,5,8,-8,102,3,0,0,1,5.0,0.0,0.0,29,10.3,,,-0.8,0.3,-0.5
Ed Olczyk,18,olczyed01,27,C,37,3,5,8,-1,28,3,0,0,1,5.0,0.0,0.0,40,7.5,,,-0.5,0.4,0.0
Stephane Matteau,19,mattest01,24,LW,12,4,3,7,5,2,3,1,0,0,3.0,0.0,0.0,22,18.2,,,0.5,0.3,0.8
Glenn Anderson*,20,andergl01,33,RW,12,4,2,6,1,12,2,2,0,0,1.0,1.0,0.0,22,18.2,,,0.4,0.2,0.6
Craig MacTavish,21,mactacr01,35,C,12,4,2,6,6,11,3,1,0,1,2.0,0.0,0.0,25,16.0,,,0.4,0.3,0.7
Brian Noonan,22,noonabr01,28,RW,12,4,2,6,5,12,2,2,0,3,2.0,0.0,0.0,26,15.4,,,0.4,0.3,0.7
Darren Turcotte,23,turcoda01,25,C,13,2,4,6,-2,13,2,0,0,0,1.0,3.0,0.0,17,11.8,,,0.2,0.1,0.3
Joe Kocur,24,kocurjo01,29,RW,71,2,1,3,-9,129,2,0,0,0,1.0,0.0,0.0,43,4.7,,,-2.3,0.6,-1.7
James Patrick,25,patrija01,30,D,6,0,3,3,1,2,0,0,0,0,2.0,1.0,0.0,6,0.0,,,0.1,0.4,0.5
Peter Andersson,26,anderpe03,28,D,8,1,1,2,-3,2,0,0,1,1,1.0,0.0,0.0,10,10.0,,,0.1,0.3,0.3
Mike Hartman,27,hartmmi01,26,LW,35,1,1,2,-5,70,1,0,0,0,1.0,0.0,0.0,19,5.3,,,-1.1,0.3,-0.8
Glenn Healy,28,healygl01,31,G,29,0,2,2,0,2,0,0,0,0,,,,0,,1368.0,47:11:00,0.0,0.0,2.2
Doug Lidster,29,lidstdo01,33,D,34,0,2,2,-12,33,0,0,0,0,2.0,0.0,0.0,25,0.0,,,-0.5,1.1,0.6
Joby Messier,30,messijo01,23,D,4,0,2,2,-1,0,0,0,0,0,2.0,0.0,0.0,7,0.0,,,0.1,0.2,0.2
Mattias Norström,31,norstma01,22,D,9,0,2,2,0,6,0,0,0,0,2.0,0.0,0.0,3,0.0,,,0.0,0.5,0.5
Phil Bourque,32,bourqph01,31,LW,16,0,1,1,-2,8,0,0,0,0,1.0,0.0,0.0,2,0.0,,,-0.5,0.1,-0.4
Jim Hiller,33,hilleji01,24,RW,2,0,0,0,1,7,0,0,0,0,0.0,0.0,0.0,0,,,,-0.1,0.1,0.0
Daniel Lacroix,34,lacroda01,24,C,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,-0.2,0.1,-0.1
Todd Marchant,35,marchto01,20,C,1,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,1,0.0,,,0.0,0.0,-0.1
Mike Richter,36,richtmi01,27,G,68,0,0,0,0,2,0,0,0,0,,,,0,,3710.0,54:34:00,0.0,0.0,11.7
Scott Stevens*,1,stevesc01,29,D,83,18,60,78,53,112,12,5,1,4,38.0,21.0,1.0,215,8.4,,,6.3,6.9,13.2
Stephane Richer,2,richest02,27,RW,80,36,36,72,31,16,26,7,3,9,31.0,5.0,0.0,217,16.6,,,6,1.6,7.6
John MacLean,3,maclejo01,29,LW,80,37,33,70,30,95,29,8,0,4,21.0,11.0,1.0,277,13.4,,,5.9,1.6,7.5
Valeri Zelepukin,4,zelepva01,25,LW,82,26,31,57,36,70,18,8,0,0,27.0,4.0,0.0,155,16.8,,,3.8,1.8,5.6
Corey Millen,5,milleco01,29,C,78,20,30,50,24,52,16,4,0,3,23.0,7.0,0.0,132,15.2,,,2.9,1.4,4.3
Bernie Nicholls,6,nichobe01,32,C,61,19,27,46,24,86,16,3,0,1,17.0,8.0,2.0,142,13.4,,,3.1,1.2,4.4
Scott Niedermayer*,7,niedesc01,20,D,81,10,36,46,34,42,5,5,0,2,26.0,9.0,1.0,135,7.4,,,3,5.6,8.6
Bill Guerin,8,gueribi01,23,RW,81,25,19,44,14,101,23,2,0,3,15.0,4.0,0.0,195,12.8,,,2.7,1.1,3.8
Claude Lemieux,9,lemiecl01,28,RW,79,18,26,44,13,86,13,5,0,5,18.0,7.0,1.0,181,9.9,,,2.2,1.0,3.2
Tom Chorske,10,chorsto01,27,LW,76,21,20,41,14,32,19,1,1,4,18.0,0.0,2.0,131,16.0,,,2.3,1.1,3.4
Bobby Holík,11,holikbo01,23,C,70,13,20,33,28,72,11,2,0,3,19.0,1.0,0.0,130,10.0,,,1.2,1.4,2.6
Bob Carpenter,12,carpebo01,30,C,76,10,23,33,7,51,8,0,2,1,22.0,1.0,0.0,125,8.0,,,0.7,0.8,1.5
Bruce Driver,13,drivebr01,31,D,66,8,24,32,29,63,4,3,1,0,9.0,14.0,1.0,109,7.3,,,2,4.7,6.6
Alexander Semak,14,semakal01,27,C,54,12,17,29,6,22,8,2,2,2,13.0,4.0,0.0,88,13.6,,,1.4,0.6,2.0
Randy McKay,15,mckayra02,27,RW,78,12,15,27,24,244,12,0,0,1,15.0,0.0,0.0,77,15.6,,,0.3,1.4,1.7
Mike Peluso,16,pelusmi01,28,LW,69,4,16,20,19,238,4,0,0,0,16.0,0.0,0.0,44,9.1,,,-0.6,1.2,0.5
Tommy Albelin,17,albelto01,29,D,62,2,17,19,20,36,1,1,0,1,9.0,8.0,0.0,62,3.2,,,0.5,3.9,4.4
Jaroslav Modrý,18,modryja01,22,D,41,2,15,17,10,18,0,2,0,0,13.0,2.0,0.0,35,5.7,,,0.7,2.4,3.1
Jim Dowd,19,dowdji01,25,C,15,5,10,15,8,0,3,2,0,0,5.0,5.0,0.0,26,19.2,,,1.1,0.4,1.5
Viacheslav Fetisov*,20,fetisvi01,35,D,52,1,14,15,14,30,1,0,0,0,11.0,2.0,1.0,36,2.8,,,0.2,3.1,3.4
David Emma,21,emmada01,25,C,15,5,5,10,0,2,4,1,0,2,4.0,1.0,0.0,24,20.8,,,0.7,0.1,0.8
Ken Daneyko,22,daneyke01,29,D,78,1,9,10,27,176,1,0,0,1,9.0,0.0,0.0,60,1.7,,,-0.7,5.0,4.3
Jason Smith,23,smithja01,20,D,41,0,5,5,7,43,0,0,0,0,5.0,0.0,0.0,47,0.0,,,###############################################################################################################################################################################################################################################################,2.2,1.8
Chris Terreri,24,terrech01,29,G,44,0,2,2,0,4,0,0,0,0,,,,0,,2340.0,53:11:00,0,0.0,7.4
Ben Hankinson,25,hankibe01,24,RW,13,1,0,1,0,23,1,0,0,1,0.0,0.0,0.0,14,7.1,,,###############################################################################################################################################################################################################################################################,0.1,-0.2
Martin Brodeur*,26,brodema01,21,G,47,0,0,0,0,2,0,0,0,0,,,,0,,2625.0,55:51:00,0,0.0,8.9
Scott Pellerin,27,pellesc01,24,LW,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,,,,0:00:00,0.0,0.0
Peter Sidorkiewicz,28,sidorpe01,30,G,3,0,0,0,0,0,0,0,0,0,,,,0,,130.0,43:17:00,0,0.0,0.3
Pavel Bure*,1,burepa01,22,RW,76,60,47,107,1,86,31,25,4,9,27.0,18.0,2.0,374,16.0,,,11.3,1.0,12.3
Geoff Courtnall,2,courtge01,31,LW,82,26,44,70,15,123,13,12,1,2,25.0,17.0,2.0,264,9.8,,,5.0,1.5,6.6
Cliff Ronning,3,ronnicl01,28,C,76,25,43,68,7,42,15,10,0,4,25.0,18.0,0.0,197,12.7,,,5.0,1.2,6.2
Trevor Linden,4,lindetr01,23,RW,84,32,29,61,6,73,20,10,2,3,19.0,10.0,0.0,234,13.7,,,4.7,1.3,6.0
Murray Craven,5,cravemu01,29,C,78,15,40,55,5,30,12,2,1,3,25.0,12.0,3.0,115,13.0,,,3.0,1.2,4.1
Jyrki Lumme,6,lummejy01,27,D,83,13,42,55,3,50,9,1,3,3,23.0,15.0,4.0,161,8.1,,,4.0,4.1,8.2
Jiri Slegr,7,slegrji01,22,D,78,5,33,38,0,86,4,1,0,0,14.0,19.0,0.0,160,3.1,,,2.0,3.7,5.7
Greg Adams,8,adamsgr02,30,LW,68,13,24,37,-1,20,7,5,1,2,16.0,5.0,3.0,139,9.4,,,1.6,0.9,2.5
Dave Babych,9,babycda01,32,D,73,4,28,32,0,52,4,0,0,2,20.0,8.0,0.0,96,4.2,,,1.5,3.5,5.0
Gino Odjick,10,odjicgi01,23,LW,76,16,13,29,13,271,12,4,0,5,12.0,1.0,0.0,121,13.2,,,0.9,1.4,2.3
Sergio Momesso,11,momesse01,28,LW,68,14,13,27,-2,149,10,4,0,1,12.0,1.0,0.0,112,12.5,,,0.9,0.8,1.7
Dana Murzyn,12,murzyda01,27,D,80,6,14,20,4,109,5,0,1,0,14.0,0.0,0.0,79,7.6,,,0.5,4.0,4.6
Jimmy Carson,13,carsoji01,25,C,34,7,10,17,-13,22,5,2,0,1,5.0,5.0,0.0,82,8.5,,,0.7,0.0,0.8
Martin Gelinas,14,gelinma01,23,RW,33,8,8,16,-6,26,5,3,0,1,6.0,2.0,0.0,54,14.8,,,0.8,0.2,1.0
Jose Charbonneau,15,charbjo01,27,RW,30,7,7,14,-3,49,6,1,0,0,6.0,1.0,0.0,28,25.0,,,0.6,0.3,0.9
Gerald Diduck,16,diducge01,28,D,55,1,10,11,2,72,1,0,0,0,6.0,1.0,3.0,50,2.0,,,-0.1,2.7,2.6
Adrien Plavsic,17,plavsad01,24,D,47,1,9,10,-5,6,1,0,0,1,5.0,4.0,0.0,41,2.4,,,-0.1,1.9,1.9
John McIntyre,18,mcintjo01,24,C,62,3,6,9,-9,38,3,0,0,0,4.0,0.0,2.0,30,10.0,,,-1.4,0.5,-0.8
Dixon Ward,19,warddi01,25,LW,33,6,1,7,-14,37,4,2,0,1,1.0,0.0,0.0,46,13.0,,,-0.2,0.0,-0.2
Tim Hunter,20,hunteti01,33,RW,56,3,4,7,-7,171,2,0,1,1,4.0,0.0,0.0,41,7.3,,,-1.3,0.5,-0.8
Dane Jackson,21,jacksda01,23,RW,12,5,1,6,3,9,5,0,0,0,1.0,0.0,0.0,18,27.8,,,0.5,0.3,0.7
Dan Kesa,22,kesada01,22,RW,19,2,4,6,-3,18,1,1,0,1,4.0,0.0,0.0,18,11.1,,,0.0,0.2,0.1
Jeff Brown,23,brownje02,27,D,11,1,5,6,2,10,1,0,0,0,1.0,4.0,0.0,41,2.4,,,0.4,0.6,1.0
Robert Dirk,24,dirkro01,27,D,65,2,3,5,18,105,2,0,0,0,3.0,0.0,0.0,38,5.3,,,-0.8,4.2,3.4
Evgeny Namestnikov,25,namesjo01,22,D,17,0,5,5,-2,10,0,0,0,0,4.0,1.0,0.0,11,0.0,,,0.1,0.7,0.7
Neil Eisenhut,26,eisenne01,26,C,13,1,3,4,0,21,1,0,0,0,3.0,0.0,0.0,13,7.7,,,-0.1,0.2,0.1
Kirk McLean,27,mcleaki01,27,G,52,0,4,4,0,2,0,0,0,0,,,,0,,3128.0,60:09:00,0.0,0.0,7.2
Shawn Antoski,28,antossh01,23,LW,55,1,2,3,-11,190,1,0,0,1,2.0,0.0,0.0,25,4.0,,,-1.8,0.4,-1.4
Nathan LaFayette,29,lafayna01,20,C,11,1,1,2,2,4,1,0,0,0,0.0,1.0,0.0,11,9.1,,,-0.2,0.2,0.0
Stephane Morin,30,morinst01,24,LW,5,1,1,2,0,6,1,0,0,0,1.0,0.0,0.0,6,16.7,,,0.1,0.1,0.1
Bret Hedican,31,hedicbr01,23,D,8,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,10,0.0,,,-0.1,0.4,0.4
Brian Glynn,32,glynnbr01,26,D,16,0,0,0,-4,12,0,0,0,0,0.0,0.0,0.0,5,0.0,,,-0.3,0.5,0.2
Michael Peca,33,pecami01,19,C,4,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,5,0.0,,,-0.2,0.0,-0.1
Kay Whitmore,34,whitmka01,26,G,32,0,0,0,0,6,0,0,0,0,,,,0,,1921.0,60:03:00,0.0,0.0,2.5
Doug Gilmour*,1,gilmodo01,30,C,83,27,84,111,25,105,16,10,1,3,50.0,30.0,4.0,167,16.2,,,8.5,1.9,10.4
Dave Andreychuk*,2,andreda01,30,RW,83,53,46,99,22,98,27,21,5,8,24.0,22.0,0.0,333,15.9,,,9.7,1.8,11.4
Wendel Clark,3,clarkwe01,27,LW,64,46,30,76,10,115,25,21,0,8,19.0,11.0,0.0,275,16.7,,,7.9,1.1,9.0
Dave Ellett,4,elletda01,29,D,68,7,36,43,6,42,2,5,0,1,12.0,24.0,0.0,146,4.8,,,2.8,4.0,6.8
Dmitri Mironov,5,mirondm01,28,D,76,9,27,36,5,78,6,3,0,0,12.0,15.0,0.0,147,6.1,,,2.2,4.3,6.5
Glenn Anderson*,6,andergl01,33,RW,73,17,18,35,-6,50,12,5,0,3,12.0,6.0,0.0,127,13.4,,,1.6,0.8,2.4
Nikolai Borschevsky,7,borscni01,29,RW,45,14,20,34,6,10,7,7,0,1,9.0,11.0,0.0,105,13.3,,,2.3,0.8,3.1
John Cullen,8,cullejo01,29,C,53,13,17,30,-2,67,11,2,0,4,13.0,4.0,0.0,80,16.3,,,1.6,0.6,2.2
Rob Pearson,9,pearsro01,22,RW,67,12,18,30,-6,189,11,1,0,4,15.0,3.0,0.0,119,10.1,,,1.0,0.7,1.7
Jamie Macoun,10,macouja01,32,D,82,3,27,30,-5,115,2,1,0,1,21.0,5.0,1.0,122,2.5,,,1.1,4.0,5.1
Todd Gill,11,gillto01,28,D,45,4,24,28,8,44,2,2,0,1,11.0,12.0,1.0,74,5.4,,,1.8,2.9,4.6
Mark Osborne,12,osborma01,32,RW,73,9,15,24,2,145,7,1,1,2,15.0,0.0,0.0,103,8.7,,,0.0,1.0,1.0
Bill Berg,13,bergbi01,26,LW,83,8,11,19,-3,93,8,0,0,1,11.0,0.0,0.0,99,8.1,,,-0.9,1.0,0.1
Mike Eastwood,14,eastwmi01,26,C,54,8,10,18,2,28,7,1,0,2,6.0,4.0,0.0,41,19.5,,,0.1,0.8,0.9
Peter Zezel,15,zezelpe01,28,C,41,8,8,16,5,19,8,0,0,0,8.0,0.0,0.0,47,17.0,,,0.5,0.7,1.1
Kent Manderville,16,mandeke01,22,LW,67,7,9,16,5,63,7,0,0,1,9.0,0.0,0.0,81,8.6,,,-0.6,1.0,0.4
Bob Rouse,17,rousebo01,29,D,63,5,11,16,8,101,3,1,1,0,8.0,1.0,2.0,77,6.5,,,0.4,3.8,4.3
Mike Gartner*,18,gartnmi01,34,RW,10,6,6,12,9,4,5,1,0,0,4.0,2.0,0.0,30,20.0,,,1.1,0.4,1.6
Mike Krushelnyski,19,krushmi01,33,C,54,5,6,11,-5,28,4,1,0,1,6.0,0.0,0.0,71,7.0,,,-0.7,0.5,-0.2
Sylvain Lefebvre,20,lefebsy01,26,D,84,2,9,11,33,79,2,0,0,0,7.0,1.0,1.0,96,2.1,,,-0.7,6.5,5.8
Drake Berehowsky,21,berehdr01,22,D,49,2,8,10,-3,63,0,2,0,2,2.0,6.0,0.0,29,6.9,,,0.0,2.4,2.4
Ken Baumgartner,22,baumgke01,27,LW,64,4,4,8,-6,185,4,0,0,0,4.0,0.0,0.0,34,11.8,,,-1.4,0.6,-0.8
Yanic Perreault,23,perreya01,22,C,13,3,3,6,1,0,1,2,0,0,3.0,0.0,0.0,24,12.5,,,0.3,0.2,0.5
Chris Govedaris,24,govedch01,23,LW,12,2,2,4,4,14,2,0,0,0,2.0,0.0,0.0,16,12.5,,,0.0,0.3,0.3
Mark Greig,25,greigma01,24,RW,13,2,2,4,1,10,2,0,0,0,2.0,0.0,0.0,14,14.3,,,0.0,0.2,0.2
Felix Potvin,26,potvife01,22,G,66,0,4,4,0,4,0,0,0,0,,,,0,,3883.0,58:50:00,0.0,0.0,12.9
Guy Larose,27,larosgu01,26,C,10,1,2,3,-2,10,1,0,0,0,2.0,0.0,0.0,9,11.1,,,0.0,0.1,0.0
Ken McRae,28,mcraeke01,25,C,9,1,1,2,1,36,1,0,0,0,1.0,0.0,0.0,11,9.1,,,-0.1,0.1,0.1
David Sacco,29,saccoda01,23,RW,4,1,1,2,-2,4,0,1,0,0,0.0,1.0,0.0,4,25.0,,,0.1,0.0,0.1
Alexei Kudashov,30,kudasal01,22,C,25,1,0,1,-3,4,1,0,0,0,0.0,0.0,0.0,24,4.2,,,-0.8,0.2,-0.6
Matt Martin,31,martima01,22,D,12,0,1,1,0,6,0,0,0,0,1.0,0.0,0.0,6,0.0,,,-0.2,0.6,0.5
Greg Smyth,32,smythgr01,27,D,11,0,1,1,-2,38,0,0,0,0,1.0,0.0,0.0,3,0.0,,,-0.1,0.5,0.3
Patrik Augusta,33,auguspa01,24,RW,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.1,0.0,-0.1
Frank Bialowas,34,bialofr01,24,D,3,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,1,0.0,,,-0.1,0.2,0.1
Mike Foligno,35,foligmi01,35,RW,4,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.2,0.1,-0.1
David Harlock,36,harloda01,22,D,6,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,2,0.0,,,-0.1,0.2,0.1
Eric Lacroix,37,lacroer01,22,LW,3,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,3,0.0,,,-0.1,0.0,-0.1
Damian Rhodes,38,rhodeda01,24,G,22,0,0,0,0,2,0,0,0,0,,,,0,,1213.0,55:09:00,0.0,0.0,3.2
Chris Snell,39,snellch01,22,D,2,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,4,0.0,,,0.0,0.0,0.0
